,Time,ID,lat1,lon1
112,2020-03-16 11:20:07,310BEA17-C2C3-453D-B787-3EB469914D08,39.779769,-104.97561999999999
132,2020-03-16 11:04:56,46028396-0EF2-4FEF-8488-97F5A5254CEE,39.78063,-104.96638
133,2020-03-16 11:05:03,334E635A-866D-4B9A-A843-2FCD0D60986F,39.779949,-104.96795
134,2020-03-16 11:05:03,6B6D77D6-5945-4A9C-9B3D-0442EF3708C6,39.78,-104.96987
136,2020-03-16 11:05:29,8D4C5FBA-9623-4EB4-9D62-CD1451209891,39.779859,-104.9738
138,2020-03-16 11:05:36,2F70D3D8-EC01-41F8-BD8C-BB8E12A1E33C,39.78078,-104.96699
139,2020-03-16 11:05:46,B407B35A-9D1C-4207-8036-4A3E38D6C0BA,39.779589,-104.97512900000001
140,2020-03-16 11:37:25,2E9EDD62-D74A-46F0-A2AA-63ACD3CABC96,39.777839,-104.97065
169,2020-03-16 11:59:32,3D0F27B6-0362-4DC4-A71A-15F564E1C391,39.780079,-104.970789
170,2020-03-16 11:20:37,E0A46E1C-68A5-4BF4-9BFB-187F5BF003F3,39.77994,-104.96605
173,2020-03-16 11:57:09,8558D591-C27D-4079-9008-C036B0271EFC,39.779509999999995,-104.975399
174,2020-03-16 11:57:09,8F28180F-B5AD-4E01-8754-979C720263F2,39.78007,-104.96971
177,2020-03-16 11:57:29,89EA8876-3CE6-4233-929D-AC35EFA5595B,39.779759999999996,-104.97038899999998
178,2020-03-16 11:57:44,2640E9A6-7ADA-45EA-8E46-DC0FBC628F52,39.779919,-104.96893
179,2020-03-16 11:58:09,198D6328-CAC9-4449-B93B-12F47AA8489E,39.779899,-104.96793000000001
180,2020-03-16 11:46:35,473C7E63-B3D5-4A05-A916-B27AF04EBC80,39.780659,-104.97564799999999
181,2020-03-16 11:00:13,483BAEAF-FBBF-4601-B48A-2C8CBC652889,39.780029,-104.96963000000001
183,2020-03-16 11:39:49,11496C81-04F1-42E8-8F0A-C9BE45D545D9,39.775999999999996,-104.97148
184,2020-03-16 11:39:53,ECA50197-17F3-437E-9C6A-B2706DC7192D,39.7796,-104.97387900000001
192,2020-03-16 11:02:21,54B8F74E-E3E0-4240-8C02-4BF23F07EC21,39.781813,-104.96778400000001
194,2020-03-16 11:02:50,3DD9705F-93D4-48BC-995C-BD88F0B569D7,39.779739,-104.97313
195,2020-03-16 11:23:17,1181A03B-FB90-407D-8381-13AFEC8F5464,39.779879,-104.96706
196,2020-03-16 11:24:18,D4A12D3A-2AC7-4C2C-9321-F6A7EE472A4B,39.779539,-104.975399
197,2020-03-16 11:24:19,A4EEAF2C-7563-4FD8-89B0-C62EB674FC15,39.781701,-104.96903700000001
198,2020-03-16 11:03:10,3E718503-E017-4422-9E7C-380FB942E619,39.77993,-104.967569
200,2020-03-16 11:03:27,84B1DAD3-0B37-4953-BB03-CA19A4034C4F,39.77991,-104.96635900000001
201,2020-03-16 11:03:45,7C83336B-31F8-4222-8E64-751CD094B286,39.77998,-104.97165
206,2020-03-16 11:42:50,F47DEE42-B537-41FD-85F1-2F2724F5C276,39.77985,-104.97395
207,2020-03-16 11:43:02,480E352B-2F5E-444E-8BF8-B319746CF14C,39.78007,-104.9657
208,2020-03-16 11:43:08,588057AF-3627-4D1C-885E-49B2CD458789,39.779579999999996,-104.97506000000001
209,2020-03-16 11:44:01,2CF500A6-D793-4CC9-9C14-29A89CB32F2C,39.779609,-104.97357
210,2020-03-16 11:09:21,52AFF201-886C-4983-BB75-77222F80EAB6,39.779859,-104.96869
211,2020-03-16 11:09:25,0836FD31-2149-478B-9D32-7937AEE9E36B,39.779579999999996,-104.97583
212,2020-03-16 11:10:17,F33228B1-F4E9-4CFC-9054-7C1198A2A042,39.779509999999995,-104.97486
213,2020-03-16 11:10:23,D6E907EC-04EA-4374-8ABA-7AD406C9FB37,39.78009,-104.970029
221,2020-03-16 11:32:27,C7FF4060-4098-4E26-865F-BA0A73CE83CD,39.778489,-104.96893999999999
222,2020-03-16 11:32:42,5ADD1E0B-CB89-4371-B946-542C97131FD1,39.77973,-104.97471999999999
223,2020-03-16 11:33:25,994CE994-4543-48A1-9DE1-6C70FF71BCB8,39.779969,-104.96826000000001
224,2020-03-16 11:11:02,C1E75B9D-2005-4A9C-BFEC-5A7D2092980C,39.77991,-104.97383
228,2020-03-16 11:11:42,5133126D-3ADA-4368-96E3-512D3298101D,39.77994,-104.96601000000001
229,2020-03-16 11:11:54,6EA73F31-435A-4CB4-8A9B-2515D6F10AE1,39.780009,-104.96637
